,pos,pos
1404761,pos,pos
1127964,pos,neg
1423176,neg,pos
951774,pos,pos
759951,pos,pos
1059749,pos,pos
879399,pos,pos
1672932,pos,pos
670641,pos,neg
879393,pos,pos
879397,pos,pos
1059745,pos,pos
922395,pos,pos
1483094,pos,neg
997497,pos,pos
668228,pos,neg
1091951,pos,pos
758021,pos,pos
758022,pos,pos
668222,neg,pos
758025,pos,pos
668221,pos,pos
1737009,pos,pos
1737008,pos,pos
1819205,pos,pos
1819203,pos,pos
1726217,pos,pos
1825281,pos,pos
1737000,pos,pos
1737003,pos,pos
1737004,pos,pos
1733586,pos,pos
809662,pos,pos
1092751,pos,pos
874013,pos,pos
1097501,pos,pos
911799,pos,pos
620654,pos,pos
1742718,pos,pos
1705431,pos,pos
763236,pos,pos
1414686,pos,pos
1079797,pos,pos
1216171,pos,pos
763238,pos,pos
1792213,pos,pos
1400375,pos,pos
1397883,pos,pos
1096453,pos,pos
1733630,pos,pos
1044768,pos,pos
1096456,pos,pos
722714,pos,pos
731227,pos,pos
731225,pos,neg
1013063,pos,pos
845832,pos,pos
731221,pos,pos
1013067,pos,pos
1009015,pos,pos
1009011,pos,pos
800431,pos,pos
1255936,pos,pos
1255937,pos,pos
914673,pos,pos
671117,pos,pos
1566936,pos,pos
671112,pos,pos
1431380,pos,pos
997230,pos,pos
1431382,pos,pos
1079240,pos,pos
918161,pos,pos
1414350,pos,pos
1196064,pos,pos
671118,pos,pos
1049481,pos,pos
1159266,pos,pos
1362432,pos,pos
899275,pos,pos
1362434,pos,pos
984533,pos,pos
1480840,pos,pos
1779766,pos,pos
753963,pos,pos
1091222,pos,pos
1621569,pos,pos
1286507,pos,pos
1523543,pos,pos
760765,pos,neg
1499324,pos,pos
610722,pos,pos
1826254,pos,pos
1292986,pos,pos
1292987,pos,pos
1826251,pos,pos
1134335,pos,pos
698336,pos,pos
1134336,pos,pos
1734064,pos,pos
1739097,pos,neg
1531261,pos,pos
648018,pos,pos
646313,pos,pos
646311,pos,pos
646316,pos,neg
811777,neg,pos
646315,pos,pos
1532790,pos,pos
1089046,pos,neg
1119807,pos,pos
713323,pos,pos
1089042,neg,pos
1009721,pos,neg
1635564,pos,pos
917322,pos,pos
726703,pos,pos
726706,pos,pos
917327,pos,pos
950872,pos,pos
792167,pos,pos
1789500,pos,neg
1814957,pos,neg
1192766,pos,pos
1237143,pos,pos
1237142,pos,pos
1192761,pos,pos
1192760,pos,pos
1198509,pos,pos
1011333,pos,pos
1655221,pos,pos
1198500,pos,pos
1655228,pos,pos
1198502,pos,pos
752615,pos,pos
1577490,pos,pos
720662,pos,pos
949783,pos,pos
720666,pos,pos
1251138,pos,pos
680539,pos,pos
1710691,pos,pos
1194423,pos,pos
1194426,pos,pos
1194424,pos,pos
1227723,pos,pos
954618,pos,neg
754646,pos,pos
1666845,pos,pos
1666846,pos,pos
954612,pos,pos
954615,pos,pos
710788,pos,pos
1496238,pos,pos
1820596,pos,pos
1121935,pos,pos
750613,pos,neg
1492754,pos,pos
1426314,pos,neg
953046,pos,pos
755065,pos,pos
815296,pos,pos
946292,pos,pos
598221,pos,pos
1297854,pos,pos
1612991,pos,pos
616280,pos,neg
616283,pos,pos
1324926,pos,pos
1277448,pos,pos
1168564,pos,pos
978393,pos,pos
1710523,neg,pos
666146,pos,pos
978397,pos,pos
995405,pos,pos
1127192,pos,pos
1535214,pos,pos
1754551,pos,pos
763955,pos,pos
763952,pos,pos
1754558,pos,pos
1629494,pos,pos
614662,pos,pos
1084590,pos,pos
1388629,pos,pos
1391314,pos,pos
1391316,pos,pos
1394143,pos,pos
616134,pos,pos
850211,pos,pos
866578,pos,pos
652642,pos,pos
946124,pos,pos
1571394,pos,pos
1194289,pos,pos
866572,pos,pos
1576164,neg,pos
866576,pos,pos
642589,pos,pos
943624,pos,pos
1756958,pos,pos
1756959,pos,neg
1536541,pos,pos
721530,pos,pos
629808,pos,pos
1462944,pos,pos
1477674,pos,pos
952316,pos,pos
952317,pos,pos
952315,pos,pos
952313,pos,pos
1289466,pos,pos
952318,pos,neg
952319,pos,pos
943510,pos,neg
943514,pos,pos
981486,pos,pos
1191901,pos,pos
1191907,pos,pos
1191908,pos,pos
1191909,pos,pos
1051974,pos,pos
714797,pos,pos
1667825,pos,pos
1175794,pos,neg
1667820,pos,pos
1667823,pos,pos
1429332,pos,pos
1324079,pos,pos
781886,pos,pos
1057537,pos,pos
667791,pos,pos
1361861,pos,pos
1361862,pos,pos
1300465,pos,pos
755938,pos,pos
1300467,pos,pos
838981,pos,pos
1049501,pos,pos
661300,pos,pos
1392660,pos,pos
661305,pos,pos
1437244,neg,pos
1296899,pos,pos
1305620,pos,pos
697227,neg,neg
1454972,pos,pos
1029060,pos,pos
1594671,pos,pos
842410,pos,pos
889737,pos,pos
726081,pos,pos
820229,pos,pos
618399,pos,pos
1173309,pos,pos
1805455,pos,pos
1173304,pos,pos
1173305,pos,pos
1227534,pos,pos
618396,pos,pos
820227,pos,pos
1117095,pos,pos
868328,pos,pos
622292,pos,pos
944562,pos,pos
692841,pos,pos
1541841,pos,pos
709226,pos,pos
1541848,pos,pos
1744141,pos,pos
1054136,pos,pos
1588591,pos,pos
628860,pos,pos
682821,pos,pos
1650301,pos,pos
1147653,pos,neg
1650308,pos,pos
790760,pos,pos
1463703,neg,pos
1656225,pos,pos
1085387,pos,pos
622749,pos,pos
1463708,pos,pos
788370,pos,pos
788373,pos,pos
1512056,pos,neg
788375,pos,pos
1140684,pos,pos
669307,pos,pos
1299543,pos,pos
1299541,pos,pos
1796892,pos,pos
662540,pos,pos
1232878,pos,pos
747321,pos,pos
1547553,pos,pos
638618,pos,pos
638617,pos,pos
916807,pos,pos
795302,pos,pos
916803,pos,pos
906833,pos,pos
1809172,pos,pos
1733914,pos,pos
803257,pos,pos
1574010,pos,neg
1720727,pos,pos
762850,pos,pos
762851,pos,neg
762852,pos,pos
785555,pos,pos
797238,pos,pos
797239,pos,pos
860866,pos,pos
1007315,pos,pos
1177559,pos,pos
1366064,pos,pos
1366069,pos,pos
1464923,pos,pos
837790,pos,pos
1771847,pos,pos
1798136,pos,pos
1487420,pos,pos
1638492,pos,pos
960591,pos,pos
1109772,pos,pos
1306929,pos,pos
1469285,neg,pos
837798,pos,neg
1306920,pos,neg
1115634,pos,pos
667078,pos,pos
887717,pos,pos
667072,pos,pos
667076,pos,pos
667077,pos,pos
650865,pos,pos
835209,pos,pos
838639,pos,pos
1669611,pos,pos
1510344,pos,pos
1510349,pos,pos
838636,pos,pos
881010,pos,pos
924890,pos,pos
1806830,pos,pos
640508,pos,pos
624191,pos,pos
724978,pos,neg
1044093,pos,pos
1451056,pos,pos
1044096,pos,pos
1802109,pos,pos
1602562,pos,pos
1791931,pos,pos
842855,pos,pos
783249,pos,pos
783241,pos,pos
783242,pos,pos
1703176,neg,pos
1754614,pos,pos
784739,pos,pos
1141898,pos,pos
1727042,pos,pos
1141896,pos,pos
1274845,pos,pos
1198265,pos,pos
1575374,pos,pos
675378,pos,pos
765008,pos,pos
786399,pos,pos
1744852,pos,pos
732425,pos,pos
732426,pos,pos
1711525,pos,neg
1658517,pos,pos
732422,pos,pos
1526666,pos,pos
842581,pos,pos
1648061,neg,pos
1322042,pos,pos
759504,pos,pos
1018711,pos,pos
1018710,pos,pos
1407746,pos,pos
1001009,pos,pos
834845,pos,pos
1589853,pos,pos
1415249,pos,pos
732353,pos,pos
1004033,pos,pos
1073325,pos,pos
1004036,pos,pos
1001007,pos,pos
660853,pos,pos
649493,pos,pos
1027259,pos,pos
796089,pos,pos
828416,pos,pos
1830241,pos,pos
828414,pos,pos
828413,pos,pos
707289,pos,pos
828411,pos,pos
1302122,pos,pos
1302126,pos,pos
1302128,pos,pos
879620,neg,neg
879621,pos,pos
1396373,pos,pos
879625,pos,pos
1396379,pos,pos
880059,pos,pos
880051,pos,pos
1452836,pos,pos
1768485,pos,pos
1452831,pos,pos
1452832,pos,neg
1733030,pos,pos
657130,pos,neg
1096615,pos,pos
1681870,pos,neg
1096617,pos,pos
885668,pos,pos
1693444,pos,pos
1528710,pos,pos
1032385,pos,pos
1528715,pos,pos
1528714,pos,pos
1528719,pos,pos
787044,pos,pos
1450093,pos,pos
789843,pos,pos
1782242,pos,pos
911808,pos,pos
764848,pos,pos
1630476,pos,pos
764846,pos,pos
764840,pos,pos
764842,pos,pos
826085,pos,pos
741896,pos,pos
1343101,pos,pos
727775,pos,pos
952439,pos,pos
1343105,pos,neg
998295,pos,pos
998296,pos,pos
998291,pos,pos
772574,pos,pos
1370595,pos,pos
1639844,pos,pos
1639840,pos,pos
1137942,pos,pos
1137943,pos,pos
1137940,pos,pos
996522,pos,neg
672807,pos,pos
1484300,pos,pos
734963,pos,pos
734966,pos,pos
1293212,pos,pos
1653164,pos,pos
906155,pos,pos
731307,pos,pos
906151,pos,neg
906153,pos,pos
1758450,pos,pos
1609651,pos,pos
1275009,pos,neg
1734260,pos,pos
1764101,pos,pos
829426,pos,pos
1734265,pos,pos
884539,pos,pos
1734268,pos,pos
898060,pos,pos
884535,pos,pos
898064,pos,pos
884531,pos,pos
1664938,pos,pos
1491257,pos,pos
614044,pos,pos
1491259,neg,pos
1735136,pos,pos
883085,pos,neg
986570,pos,pos
986575,pos,pos
986574,pos,pos
1451874,pos,pos
1451876,pos,pos
967695,pos,pos
954962,pos,pos
786808,pos,pos
1029483,pos,pos
1389775,pos,pos
1389771,pos,pos
882973,pos,pos
798755,pos,pos
798758,pos,neg
1637627,pos,pos
637672,pos,pos
1003331,pos,pos
1003333,pos,pos
736258,pos,pos
1003334,pos,pos
1003337,pos,pos
955980,pos,pos
955981,pos,pos
1488146,neg,pos
1488140,pos,pos
533211,pos,pos
1638829,pos,pos
1484874,pos,pos
957430,pos,pos
847744,pos,pos
1269182,pos,pos
750456,pos,pos
907354,pos,pos
1311779,pos,pos
1439364,pos,pos
907350,pos,pos
907352,pos,pos
1311777,pos,neg
907359,pos,pos
758606,pos,pos
1311774,pos,pos
1816689,pos,pos
1518969,pos,pos
1764819,pos,pos
1816683,pos,pos
844093,pos,pos
1353088,pos,pos
1511825,pos,pos
1353082,pos,neg
1100245,neg,pos
1358054,pos,pos
1353084,pos,pos
1146989,pos,pos
1146985,pos,pos
1816354,pos,pos
1816350,pos,pos
696605,pos,pos
1545606,pos,pos
956987,pos,pos
834230,pos,pos
696602,pos,pos
1150981,pos,neg
1155074,pos,pos
1177057,pos,pos
1744291,pos,pos
1147583,pos,pos
840913,pos,pos
929355,pos,neg
1100796,pos,pos
1211427,pos,pos
915918,pos,pos
1743742,pos,pos
760957,pos,neg
915914,pos,pos
915917,pos,pos
1146673,pos,pos
915911,pos,pos
1718872,pos,neg
1295304,pos,pos
737326,pos,neg
1102790,pos,pos
1143004,pos,pos
1143005,pos,pos
1143006,pos,pos
1295302,pos,pos
1143009,pos,pos
1102799,pos,pos
737328,pos,pos
1349996,pos,pos
1349997,pos,pos
1349994,pos,pos
733437,pos,pos
1079851,pos,pos
733432,pos,pos
641606,pos,pos
915850,pos,pos
1079859,pos,pos
1349999,pos,pos
1135970,pos,pos
1135972,pos,pos
872596,pos,pos
1058940,pos,neg
1840152,pos,pos
1135979,pos,pos
1057337,pos,pos
836003,pos,pos
836001,pos,pos
836000,pos,pos
836004,pos,pos
1670220,pos,pos
617064,pos,pos
799833,pos,pos
1053979,pos,pos
754603,pos,pos
1354025,pos,pos
991216,pos,pos
1053790,pos,pos
1102136,pos,pos
1825364,pos,neg
1102138,pos,pos
1217140,neg,pos
1076822,pos,pos
645340,pos,pos
697261,pos,pos
645342,pos,pos
697263,pos,pos
878232,pos,pos
878233,pos,neg
645348,pos,neg
878234,pos,pos
713958,pos,pos
1525248,pos,pos
785479,pos,pos
1185694,pos,neg
921839,pos,pos
921838,pos,pos
1142351,pos,pos
1142350,pos,pos
1542736,neg,pos
1066741,pos,pos
942914,pos,pos
942916,pos,pos
1066749,pos,pos
1324278,pos,pos
1324279,pos,pos
1671097,pos,pos
865853,pos,pos
1671092,pos,pos
1409498,pos,pos
691599,pos,pos
808907,pos,pos
1328765,pos,pos
919114,pos,neg
808901,pos,pos
1355644,pos,pos
1783657,pos,pos
1719835,pos,pos
801626,pos,pos
999005,pos,pos
796966,pos,pos
1062245,pos,pos
675330,pos,neg
796965,pos,pos
1062243,pos,pos
1220233,pos,pos
601325,pos,pos
1566013,pos,pos
753374,pos,pos
1297276,pos,pos
997875,pos,pos
1297279,pos,pos
936977,pos,pos
1163895,pos,pos
1150614,pos,pos
1150617,pos,pos
1050942,pos,pos
1157642,pos,pos
1212247,pos,pos
1024268,pos,pos
1157649,pos,pos
1160137,pos,pos
644437,pos,pos
1159970,pos,pos
644431,pos,pos
1535433,pos,pos
1472026,pos,pos
1159978,pos,pos
1017356,pos,pos
1545336,pos,pos
763379,pos,pos
722697,pos,neg
1750862,pos,pos
1733773,pos,pos
1096551,pos,pos
722691,pos,pos
1184126,pos,pos
668076,pos,pos
668072,pos,pos
1096559,pos,neg
1096558,pos,pos
1553146,pos,pos
912339,pos,pos
640476,pos,neg
1038901,pos,neg
1038903,pos,pos
695641,pos,pos
1192357,pos,pos
695646,pos,pos
1007156,pos,pos
1542558,pos,pos
699762,pos,pos
1421482,pos,pos
1664097,pos,pos
691556,pos,pos
1432080,pos,pos
1362579,pos,pos
917422,pos,neg
917421,pos,pos
917420,pos,pos
945147,pos,neg
1362571,pos,pos
796924,pos,pos
1531439,pos,pos
864816,pos,pos
1539223,pos,neg
640431,pos,pos
1406445,pos,pos
640433,pos,pos
640435,pos,pos
1539228,pos,pos
1189780,pos,pos
1159395,pos,pos
1189785,pos,pos
1398312,pos,pos
1398311,pos,pos
1012720,pos,neg
1157940,pos,pos
1151561,pos,pos
918391,pos,pos
918393,pos,pos
1123214,pos,pos
611176,pos,neg
955045,pos,pos
955043,pos,pos
700929,pos,neg
1580918,pos,pos
638935,pos,pos
700925,pos,pos
986638,pos,pos
1189255,pos,pos
1436767,pos,pos
1197388,pos,pos
917289,pos,pos
917287,pos,pos
1593292,pos,pos
917283,pos,pos
617856,pos,pos
1790318,pos,pos
1209204,pos,pos
606751,pos,pos
1493635,pos,pos
1493637,pos,pos
1111623,pos,pos
867543,pos,neg
1597045,pos,pos
1000317,pos,pos
1111625,pos,pos
1000315,pos,pos
646108,pos,pos
992762,pos,pos
1054754,pos,pos
1054750,pos,neg
1203467,pos,pos
733012,pos,pos
992769,pos,pos
726512,pos,neg
1054759,pos,neg
796076,pos,pos
1010767,pos,neg
1010765,pos,pos
933801,pos,pos
1064072,pos,pos
1079118,pos,pos
1064079,pos,pos
1331616,pos,neg
1065305,pos,pos
1065303,neg,pos
1649135,pos,neg
1399199,pos,pos
1685916,pos,pos
1197963,pos,pos
628274,pos,pos
1299361,pos,pos
688112,pos,pos
688113,pos,pos
628272,pos,pos
1474514,pos,pos
989811,pos,pos
687554,pos,pos
1462750,pos,pos
1651778,pos,pos
1165802,pos,pos
1165804,pos,pos
1165805,pos,pos
904180,pos,pos
704751,pos,pos
616070,pos,pos
1472203,pos,pos
1472202,pos,pos
1050124,pos,pos
1426124,neg,pos
616078,pos,pos
616079,pos,pos
715639,pos,neg
795522,neg,pos
1504335,pos,pos
693177,pos,pos
693178,pos,pos
795244,pos,pos
1361127,pos,neg
1361126,pos,pos
611865,pos,pos
1625713,pos,pos
995234,pos,pos
611863,pos,pos
995239,pos,pos
773001,neg,pos
836720,pos,pos
1508483,pos,pos
916948,pos,pos
1508484,pos,pos
1556305,pos,pos
1508488,pos,pos
821434,pos,pos
824401,pos,pos
828718,pos,pos
1335972,pos,pos
1335971,pos,pos
922321,pos,pos
828714,pos,pos
828715,pos,pos
828716,pos,pos
1064034,pos,pos
838966,pos,pos
838967,pos,pos
749082,pos,pos
1504488,pos,pos
1698818,pos,neg
657487,pos,pos
657481,pos,neg
1004543,pos,pos
1004541,pos,neg
1217807,pos,pos
1004545,pos,pos
1694304,pos,pos
1217809,pos,pos
1694301,pos,pos
1002261,pos,neg
1594821,pos,pos
1002267,pos,pos
1160762,pos,pos
1057477,pos,neg
1230015,pos,pos
1795991,pos,pos
1057473,pos,pos
1459875,pos,pos
741706,pos,pos
1087251,pos,pos
1682137,pos,neg
1308799,pos,pos
667619,pos,pos
1599635,pos,pos
1599632,pos,pos
936568,pos,pos
1494841,pos,pos
1585756,pos,pos
654686,pos,pos
1494845,pos,pos
1298684,pos,pos
1298658,pos,pos
1512938,pos,pos
1674145,pos,pos
1233667,pos,pos
835875,pos,pos
1134082,pos,pos
1134080,pos,pos
835870,neg,pos
835878,pos,pos
661512,pos,neg
1128559,pos,pos
661516,pos,pos
661515,pos,pos
1473636,pos,pos
1128551,pos,pos
1128553,neg,pos
1128552,pos,pos
889838,pos,pos
1117118,pos,pos
646483,pos,neg
646480,pos,pos
653300,pos,pos
728233,pos,pos
875983,pos,pos
875980,pos,pos
666053,pos,pos
666052,pos,pos
666050,pos,pos
666057,pos,pos
893573,pos,pos
622466,pos,pos
962034,pos,pos
694253,pos,neg
1312270,pos,pos
948838,pos,pos
948839,pos,pos
1117265,pos,pos
1473988,pos,pos
876953,pos,pos
876955,pos,pos
1469733,pos,pos
876959,pos,neg
1135560,pos,pos
1305774,pos,neg
1473986,pos,pos
944730,pos,pos
944735,pos,pos
945463,pos,pos
774864,pos,pos
774261,pos,neg
728586,pos,pos
728581,pos,pos
1071068,pos,pos
1042821,pos,pos
688935,pos,pos
1579936,pos,pos
688939,pos,pos
1653049,pos,pos
864174,pos,pos
1468052,pos,pos
787992,pos,pos
864173,pos,neg
1731144,pos,pos
1186779,pos,pos
1766252,pos,pos
577248,pos,pos
1138894,pos,pos
1138890,pos,pos
1486183,pos,pos
1031882,pos,pos
876374,pos,pos
876373,pos,pos
672215,pos,pos
672210,pos,pos
876378,pos,pos
1386840,pos,pos
787668,pos,neg
1517415,neg,pos
1139454,pos,pos
787664,neg,pos
687831,pos,pos
1426956,neg,pos
1454313,pos,pos
631381,pos,pos
1351009,pos,pos
1454316,pos,pos
504125,pos,pos
1351005,pos,pos
1351004,pos,pos
1351007,pos,pos
1454318,pos,pos
1451795,pos,pos
1302862,pos,pos
1316049,pos,pos
1488557,pos,pos
1302868,pos,pos
1219433,pos,pos
1132134,pos,pos
619187,pos,pos
651418,pos,pos
1210715,pos,pos
899174,pos,pos
1210710,pos,pos
1047248,pos,pos
1112502,pos,pos
983934,pos,pos
1668618,pos,pos
1648741,pos,pos
1648740,pos,pos
956167,pos,pos
1459094,pos,pos
1459091,pos,pos
1648748,pos,pos
1344160,pos,pos
1296941,pos,pos
654636,pos,pos
967823,pos,pos
1780037,pos,pos
1308888,pos,pos
829246,pos,pos
829241,pos,pos
1227565,pos,pos
673164,pos,pos
999264,pos,pos
1511717,pos,pos
988800,pos,pos
1469094,pos,pos
1047850,pos,pos
988808,pos,pos
1444357,pos,pos
1148057,pos,pos
1708487,pos,neg
1660400,pos,pos
1708483,pos,pos
1316045,pos,pos
1708481,pos,pos
1762203,pos,pos
664364,pos,pos
881206,pos,pos
881202,pos,pos
666736,pos,pos
1600847,pos,pos
1600841,pos,pos
1082830,pos,pos
732585,pos,pos
873295,pos,pos
873294,neg,pos
1404220,pos,neg
873292,neg,pos
1671251,pos,pos
810521,pos,pos
1636344,pos,pos
1636341,pos,pos
632126,pos,pos
923273,pos,pos
1455548,pos,pos
1732552,pos,pos
1521022,pos,pos
1732557,pos,pos
1675956,pos,pos
1455547,pos,pos
666887,pos,pos
773549,pos,pos
766090,pos,pos
799368,pos,neg
1077053,pos,pos
1528507,pos,pos
801357,pos,pos
1344832,pos,pos
1151728,pos,pos
796038,pos,pos
884188,pos,pos
1686155,pos,pos
962709,pos,neg
884182,pos,pos
1053163,pos,neg
1154410,pos,neg
1053164,pos,pos
649284,pos,neg
649280,pos,pos
773894,pos,pos
846261,pos,pos
855308,pos,pos
997042,pos,pos
1778071,pos,pos
885581,pos,pos
997047,pos,pos
997046,pos,pos
963250,pos,pos
1129094,pos,pos
892769,pos,pos
1734186,pos,pos
1734181,pos,pos
996318,pos,pos
1562208,pos,pos
996315,pos,pos
936987,pos,pos
996311,pos,pos
985010,pos,pos
1396507,pos,pos
1396506,pos,pos
1670128,pos,pos
1396503,pos,neg
1443289,pos,pos
1287799,pos,pos
1556469,pos,neg
1702074,pos,pos
1601827,pos,pos
1702072,pos,pos
1538137,pos,neg
1538134,pos,pos
1601829,pos,pos
1601828,pos,pos
896314,pos,pos
1737981,pos,pos
1737983,pos,pos
1737985,pos,pos
1006522,pos,pos
1743939,pos,pos
1091071,pos,pos
648423,pos,pos
648420,pos,pos
1756118,pos,pos
1539429,pos,neg
648429,pos,pos
1527851,pos,pos
644733,pos,pos
1527857,pos,pos
1186898,pos,pos
798092,pos,pos
798095,pos,pos
1062997,pos,pos
1063024,pos,pos
1558602,pos,pos
1735586,pos,pos
728919,pos,pos
784069,pos,pos
840311,pos,pos
1387671,pos,pos
840317,pos,pos
639969,pos,pos
1558601,pos,pos
865869,pos,pos
1520082,pos,pos
1520080,pos,pos
1222523,pos,pos
748931,pos,pos
1637732,pos,pos
1740075,pos,pos
1052343,pos,pos
1052346,pos,pos
1052347,pos,pos
759458,pos,pos
759459,pos,pos
986437,pos,pos
893493,pos,pos
1293407,pos,pos
759450,pos,pos
906729,pos,pos
731119,pos,pos
1397671,pos,pos
955538,pos,neg
939579,pos,pos
950496,pos,pos
627949,pos,neg
984879,pos,pos
606597,pos,pos
756307,pos,pos
756303,pos,neg
756302,pos,pos
957975,pos,pos
1781103,pos,pos
1781102,pos,pos
1345011,pos,pos
1345010,pos,pos
1097824,pos,pos
1817725,pos,pos
1439752,pos,pos
1141300,pos,pos
1160522,pos,pos
1389101,pos,pos
1389102,pos,pos
1836050,pos,pos
1352527,pos,pos
815001,pos,pos
1352525,pos,pos
1407223,pos,pos
1355062,pos,pos
1388276,pos,pos
1407226,pos,pos
1147468,pos,pos
1591500,pos,pos
697876,pos,pos
697871,pos,pos
1591504,pos,pos
1203936,pos,pos
681879,pos,pos
1151155,pos,pos
615748,pos,pos
1626600,pos,pos
903230,pos,pos
1600783,pos,pos
987389,pos,pos
987381,pos,pos
987380,pos,pos
946398,pos,pos
946393,pos,pos
1322914,pos,pos
1031691,pos,pos
1349819,pos,pos
1336057,pos,neg
924140,pos,pos
1091298,pos,pos
852656,pos,pos
852650,pos,pos
1741843,pos,pos
1322786,pos,pos
913496,pos,pos
913494,pos,pos
913495,pos,neg
913493,pos,pos
1410970,pos,pos
1157871,pos,pos
636686,pos,pos
1600780,pos,pos
1359197,pos,pos
1050451,pos,pos
1199265,pos,pos
799508,pos,pos
1359199,pos,pos
579966,pos,pos
915892,pos,neg
915895,pos,pos
915897,pos,pos
915898,pos,pos
1672192,pos,pos
698474,pos,neg
1678524,pos,pos
792223,pos,neg
1053704,pos,pos
1034809,pos,pos
1038313,pos,neg
1038315,pos,pos
1509443,pos,pos
791556,pos,pos
942896,pos,pos
1672226,pos,pos
791553,neg,pos
1164990,pos,pos
1672223,pos,pos
